Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Negative electrode conductivity [S.m-1],50,Howie Chu Thermography,graphite
Maximum concentration in negative electrode [mol.m-3],30000,Scott Moura FastDFN,
Negative electrode diffusivity [m2.s-1],1000000,,
Negative electrode OCP [V],[function]graphite_ocp_Chu2020,,
,,,
# Microstructure,,,
Negative electrode porosity,0.3,Scott Moura FastDFN,electrolyte volume fraction
Negative electrode active material volume fraction,0.7,,assuming zero binder volume fraction
Negative particle radius [m],1E-05,Scott Moura FastDFN,
Negative particle distribution in x,1,,
Negative electrode surface area to volume ratio [m-1],10000000,Scott Moura FastDFN,
Negative electrode Bruggeman coefficient (electrolyte),1.5,Scott Moura FastDFN,
Negative electrode Bruggeman coefficient (electrode),1.5,Scott Moura FastDFN,
,,,
# Interfacial reactions,,,
Negative electrode cation signed stoichiometry,-1,,
Negative electrode electrons in reaction,1,,
Reference OCP vs SHE in the negative electrode [V],,,
Negative electrode charge transfer coefficient,0.5,Scott Moura FastDFN,
Negative electrode double-layer capacity [F.m-2],0.2,,
Negative electrode exchange-current density [A.m-2],[function]graphite_elyte_exchange_current_density_Chu2020,,
,,,
# Density,,,
Negative electrode density [kg.m-3],1657,,
,,,
# Thermal parameters,,,
Negative electrode specific heat capacity [J.kg-1.K-1],1400,,
Negative electrode thermal conductivity [W.m-1.K-1],54,,
Negative electrode OCP entropic change [V.K-1],-0.00007,,
