Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Positive electrode conductivity [S.m-1],50,Howie Chu Thermography,lithium iron phosphate
Maximum concentration in positive electrode [mol.m-3],55000,Scott Moura FastDFN,
Positive electrode diffusivity [m2.s-1],1000000,,
Positive electrode OCP [V],[function]lfp_ocp_Chu2020,,
,,,
# Microstructure,,,
Positive electrode porosity,0.3,Scott Moura FastDFN,electrolyte volume fraction
Positive electrode active material volume fraction,0.7,,assuming zero binder volume fraction
Positive particle radius [m],1E-05,Scott Moura FastDFN,
Positive particle distribution in x,1,,
Positive electrode surface area to volume ratio [m-1],10000000,Scott Moura FastDFN,
Positive electrode Bruggeman coefficient (electrolyte),1.5,Scott Moura FastDFN,
Positive electrode Bruggeman coefficient (electrode),1.5,Scott Moura FastDFN,
,,,
# Interfacial reactions,,,
Positive electrode cation signed stoichiometry,-1,,
Positive electrode electrons in reaction,1,,
Reference OCP vs SHE in the positive electrode [V],,,
Positive electrode charge transfer coefficient,0.5,Scott Moura FastDFN,
Positive electrode double-layer capacity [F.m-2],0.2,,
Positive electrode exchange-current density [A.m-2],[function]lfp_elyte_exchange_current_density_Chu2020,,
,,,
# Density,,,
Positive electrode density [kg.m-3],3262,,
,,,
# Thermal parameters,,,
Positive electrode specific heat capacity [J.kg-1.K-1],705,,
Positive electrode thermal conductivity [W.m-1.K-1],54,,
Positive electrode OCP entropic change [V.K-1],-0.00007,,
